Source,Target,Type,Id,Label,Weight
94,95,Undirected,1871,,3
94,30,Undirected,1873,,5
96,30,Undirected,1888,,5
96,99,Undirected,1892,,3
30,97,Undirected,1895,,5
30,98,Undirected,1896,,3
30,99,Undirected,1897,,5
30,101,Undirected,1899,,3
97,98,Undirected,1900,,3
31,99,Undirected,1909,,3
7,103,Undirected,1921,,3
7,3,Undirected,1923,,4
102,3,Undirected,1926,,3
104,19,Undirected,1934,,3
104,60,Undirected,1935,,3
19,60,Undirected,1938,,6
105,22,Undirected,1945,,3
105,111,Undirected,1946,,3
106,107,Undirected,1947,,5
106,108,Undirected,1948,,5
106,109,Undirected,1950,,4
106,111,Undirected,1953,,3
107,108,Undirected,1954,,4
107,109,Undirected,1956,,4
107,111,Undirected,1959,,3
108,109,Undirected,1961,,5
108,22,Undirected,1963,,3
108,111,Undirected,1964,,4
22,111,Undirected,1974,,10
112,113,Undirected,1975,,5
112,36,Undirected,1976,,3
112,10,Undirected,1979,,6
112,115,Undirected,1980,,3
112,116,Undirected,1981,,6
112,117,Undirected,1982,,3
112,120,Undirected,1985,,3
112,48,Undirected,1986,,6
112,121,Undirected,1987,,3
112,19,Undirected,1989,,4
112,62,Undirected,1992,,4
112,22,Undirected,1994,,8
112,67,Undirected,1996,,15
112,111,Undirected,1999,,8
112,75,Undirected,2000,,4
112,24,Undirected,2004,,5
113,114,Undirected,2007,,3
113,10,Undirected,2009,,6
113,116,Undirected,2011,,4
113,117,Undirected,2012,,3
113,120,Undirected,2015,,3
113,19,Undirected,2019,,6
113,123,Undirected,2020,,3
113,62,Undirected,2022,,3
113,22,Undirected,2024,,4
113,67,Undirected,2026,,7
113,75,Undirected,2030,,3
36,116,Undirected,2038,,5
36,122,Undirected,2044,,4
36,19,Undirected,2045,,3
36,126,Undirected,2050,,3
36,128,Undirected,2052,,4
36,24,Undirected,2053,,5
114,117,Undirected,2059,,4
114,119,Undirected,2061,,3
114,19,Undirected,2066,,3
37,115,Undirected,2083,,4
37,116,Undirected,2084,,5
37,122,Undirected,2090,,6
37,19,Undirected,2091,,3
37,124,Undirected,2093,,3
37,111,Undirected,2095,,4
37,128,Undirected,2098,,3
37,24,Undirected,2099,,3
10,116,Undirected,2102,,10
10,117,Undirected,2103,,4
10,120,Undirected,2106,,4
10,122,Undirected,2108,,3
10,111,Undirected,2112,,6
10,126,Undirected,2113,,4
10,128,Undirected,2115,,5
10,129,Undirected,2116,,4
115,122,Undirected,2124,,3
115,19,Undirected,2125,,3
115,67,Undirected,2132,,4
115,111,Undirected,2135,,4
116,117,Undirected,2142,,4
116,118,Undirected,2143,,5
116,120,Undirected,2145,,3
116,48,Undirected,2146,,5
116,122,Undirected,2148,,4
116,19,Undirected,2149,,7
116,54,Undirected,2151,,4
116,62,Undirected,2152,,8
116,21,Undirected,2153,,3
116,22,Undirected,2154,,7
116,124,Undirected,2155,,3
116,67,Undirected,2156,,20
116,71,Undirected,2157,,3
116,125,Undirected,2158,,3
116,111,Undirected,2159,,6
116,128,Undirected,2163,,9
116,24,Undirected,2164,,7
117,119,Undirected,2167,,4
117,120,Undirected,2168,,3
117,48,Undirected,2169,,3
117,19,Undirected,2172,,4
